iter	Passed	Remaining
0	146	145903
1	147	73737
2	149	49656
3	151	37619
4	152	30391
5	154	25573
6	155	22129
7	158	19606
8	159	17616
9	161	16002
10	163	14687
11	165	13595
12	166	12673
13	168	11884
14	170	11208
15	172	10613
16	174	10077
17	175	9593
18	177	9163
19	179	8776
20	180	8425
21	182	8106
22	184	7816
23	185	7552
24	187	7306
25	188	7079
26	190	6869
27	192	6672
28	193	6490
29	195	6318
30	197	6161
31	198	6013
32	200	5874
33	202	5740
34	203	5615
35	205	5496
36	206	5386
37	208	5281
38	210	5180
39	211	5083
40	213	5004
41	215	4919
42	217	4835
43	218	4755
44	220	4679
45	222	4605
46	223	4535
47	225	4467
48	226	4404
49	228	4342
50	230	4282
51	231	4224
52	233	4169
53	234	4116
54	236	4063
55	238	4014
56	239	3966
57	241	3920
58	243	3876
59	244	3832
60	246	3791
61	247	3751
62	249	3713
63	251	3674
64	252	3637
65	254	3600
66	256	3565
67	257	3522
68	258	3488
69	260	3455
70	261	3423
71	263	3392
72	264	3362
73	266	3333
74	267	3304
75	269	3279
76	271	3251
77	272	3225
78	274	3199
79	275	3173
80	277	3148
81	279	3123
82	280	3099
83	282	3077
84	283	3051
85	285	3032
86	286	3006
87	288	2986
88	289	2967
89	291	2948
90	293	2930
91	295	2913
92	296	2895
93	298	2879
94	300	2862
95	302	2844
96	303	2827
97	305	2810
98	306	2793
99	308	2778
100	310	2761
101	311	2740
102	313	2727
103	314	2713
104	316	2701
105	318	2687
106	320	2675
107	322	2662
108	324	2650
109	326	2645
110	328	2632
111	330	2619
112	332	2608
113	333	2595
114	335	2583
115	337	2569
116	339	2560
117	341	2549
118	342	2537
119	344	2526
120	346	2514
121	347	2502
122	348	2485
123	350	2474
124	351	2463
125	353	2453
126	355	2443
127	356	2430
128	358	2419
129	359	2408
130	361	2398
131	363	2388
132	364	2377
133	366	2367
134	367	2357
135	369	2348
136	371	2339
137	372	2327
138	374	2317
139	375	2308
140	377	2299
141	378	2289
142	380	2280
143	382	2272
144	383	2263
145	385	2256
146	387	2250
147	389	2244
148	391	2238
149	394	2232
150	396	2228
151	398	2221
152	400	2215
153	402	2210
154	404	2205
155	407	2206
156	410	2204
157	414	2206
158	416	2205
159	418	2199
160	421	2194
161	422	2186
162	424	2177
163	425	2169
164	427	2162
165	429	2156
166	430	2149
167	432	2143
168	434	2137
169	436	2131
170	438	2125
171	439	2117
172	442	2113
173	443	2107
174	445	2099
175	447	2094
176	449	2089
177	450	2081
178	451	2072
179	454	2071
180	456	2065
181	458	2058
182	459	2050
183	460	2043
184	463	2041
185	464	2033
186	465	2025
187	467	2020
188	469	2014
189	470	2007
190	472	2000
191	473	1994
192	475	1987
193	476	1980
194	478	1973
195	480	1969
196	481	1963
197	483	1957
198	484	1952
199	486	1947
200	488	1942
201	494	1953
202	496	1949
203	498	1946
204	500	1941
205	501	1934
206	503	1927
207	504	1920
208	505	1913
209	506	1906
210	507	1899
211	509	1892
212	510	1885
213	511	1879
214	513	1873
215	514	1867
216	515	1861
217	517	1855
218	518	1849
219	520	1843
220	521	1837
221	522	1831
222	524	1826
223	525	1821
224	527	1816
225	529	1812
226	530	1806
227	531	1800
228	532	1794
229	534	1790
230	536	1784
231	537	1778
232	538	1772
233	539	1767
234	541	1762
235	542	1756
236	543	1750
237	545	1744
238	546	1739
239	547	1733
240	548	1728
241	550	1723
242	551	1719
243	553	1715
244	555	1710
245	556	1706
246	558	1701
247	559	1696
248	560	1691
249	562	1686
250	563	1680
251	565	1677
252	566	1673
253	569	1671
254	571	1669
255	574	1670
256	576	1666
257	577	1661
258	579	1656
259	580	1651
260	581	1646
261	583	1642
262	585	1640
263	586	1636
264	588	1632
265	590	1628
266	591	1623
267	592	1619
268	594	1615
269	595	1610
270	597	1606
271	598	1602
272	600	1597
273	602	1595
274	603	1591
275	604	1586
276	606	1583
277	609	1582
278	611	1580
279	615	1581
280	616	1577
281	619	1576
282	621	1573
283	622	1569
284	623	1564
285	625	1560
286	627	1559
287	630	1558
288	633	1558
289	635	1554
290	636	1551
291	640	1553
292	642	1551
293	644	1547
294	646	1543
295	647	1539
296	649	1537
297	650	1533
298	652	1529
299	653	1525
300	656	1523
301	659	1523
302	661	1521
303	662	1517
304	664	1514
305	665	1510
306	667	1506
307	668	1502
308	670	1499
309	673	1498
310	674	1494
311	675	1490
312	677	1486
313	678	1482
314	679	1477
315	681	1474
316	682	1470
317	683	1465
318	686	1465
319	688	1462
320	689	1458
321	690	1454
322	692	1450
323	693	1446
324	694	1443
325	696	1439
326	697	1435
327	700	1434
328	701	1431
329	702	1427
330	704	1423
331	705	1419
332	706	1415
333	707	1411
334	708	1406
335	709	1403
336	711	1399
337	712	1395
338	714	1394
339	716	1390
340	717	1387
341	719	1383
342	720	1380
343	722	1377
344	723	1372
345	724	1369
346	725	1365
347	726	1361
348	728	1358
349	729	1354
350	730	1350
351	731	1347
352	732	1343
353	734	1339
354	735	1335
355	736	1332
356	737	1328
357	738	1324
358	739	1321
359	741	1318
360	742	1314
361	744	1311
362	745	1308
363	746	1304
364	748	1301
365	749	1298
366	750	1294
367	751	1290
368	752	1286
369	753	1283
370	754	1280
371	757	1278
372	758	1275
373	759	1271
374	760	1267
375	762	1264
376	763	1261
377	764	1257
378	765	1254
379	766	1250
380	767	1247
381	768	1244
382	770	1240
383	771	1238
384	773	1235
385	774	1231
386	775	1228
387	776	1224
388	777	1221
389	778	1217
390	779	1214
391	781	1211
392	782	1208
393	783	1204
394	784	1201
395	786	1199
396	787	1195
397	788	1192
398	789	1189
399	790	1186
400	791	1182
401	793	1179
402	794	1176
403	795	1173
404	796	1170
405	797	1167
406	799	1164
407	800	1162
408	802	1158
409	803	1155
410	804	1152
411	805	1149
412	806	1146
413	807	1143
414	808	1140
415	809	1136
416	811	1133
417	812	1130
418	813	1127
419	815	1125
420	816	1122
421	817	1119
422	818	1116
423	819	1113
424	820	1110
425	822	1107
426	823	1104
427	824	1101
428	825	1098
429	826	1095
430	827	1092
431	829	1090
432	830	1087
433	831	1084
434	832	1081
435	833	1078
436	835	1075
437	836	1073
438	837	1070
439	838	1067
440	839	1064
441	841	1061
442	842	1059
443	843	1056
444	845	1053
445	846	1051
446	847	1048
447	848	1045
448	849	1042
449	850	1040
450	852	1037
451	853	1034
452	854	1031
453	855	1028
454	856	1025
455	857	1023
456	858	1020
457	859	1017
458	861	1015
459	862	1012
460	863	1009
461	864	1006
462	865	1003
463	866	1001
464	867	998
465	868	995
466	869	992
467	871	990
468	872	987
469	873	985
470	874	982
471	875	979
472	876	976
473	877	974
474	879	971
475	880	968
476	881	966
477	882	963
478	883	960
479	884	958
480	885	955
481	887	953
482	888	950
483	889	948
484	890	945
485	891	942
486	892	940
487	893	937
488	894	934
489	895	932
490	896	929
491	897	927
492	898	924
493	900	922
494	901	919
495	902	917
496	903	914
497	905	912
498	906	909
499	907	907
500	908	904
501	909	902
502	910	899
503	911	897
504	912	894
505	914	892
506	915	890
507	917	888
508	918	885
509	919	883
510	920	880
511	921	878
512	923	876
513	924	873
514	925	871
515	926	869
516	927	866
517	928	864
518	930	862
519	931	859
520	932	857
521	933	855
522	935	852
523	936	850
524	937	848
525	938	845
526	939	843
527	940	841
528	942	838
529	943	836
530	944	834
531	945	832
532	947	829
533	948	827
534	949	825
535	950	823
536	951	820
537	953	818
538	954	816
539	955	813
540	956	811
541	957	809
542	959	807
543	960	805
544	961	802
545	962	800
546	963	798
547	965	796
548	966	793
549	967	791
550	968	789
551	969	787
552	970	784
553	972	782
554	974	781
555	975	778
556	976	776
557	977	774
558	978	772
559	979	769
560	981	767
561	982	765
562	983	763
563	984	761
564	985	758
565	987	756
566	988	755
567	990	753
568	991	751
569	992	748
570	993	746
571	995	744
572	996	742
573	998	740
574	999	738
575	1000	736
576	1002	734
577	1004	733
578	1005	730
579	1006	728
580	1007	726
581	1008	724
582	1010	722
583	1011	720
584	1012	718
585	1013	716
586	1014	713
587	1015	711
588	1017	710
589	1019	708
590	1020	706
591	1021	703
592	1022	701
593	1023	699
594	1024	697
595	1026	695
596	1027	693
597	1028	691
598	1029	689
599	1031	687
600	1032	685
601	1033	683
602	1035	681
603	1036	679
604	1037	677
605	1038	675
606	1039	673
607	1040	671
608	1042	669
609	1043	666
610	1044	664
611	1045	662
612	1047	661
613	1048	659
614	1049	657
615	1050	655
616	1051	653
617	1053	650
618	1054	649
619	1055	646
620	1057	645
621	1058	643
622	1060	641
623	1062	640
624	1063	638
625	1065	636
626	1066	634
627	1067	632
628	1068	630
629	1069	628
630	1070	626
631	1072	624
632	1073	622
633	1074	620
634	1076	618
635	1077	616
636	1078	614
637	1080	612
638	1081	610
639	1082	609
640	1083	607
641	1085	605
642	1086	603
643	1087	601
644	1088	599
645	1090	597
646	1091	595
647	1092	593
648	1093	591
649	1094	589
650	1095	587
651	1097	585
652	1098	583
653	1099	581
654	1100	579
655	1101	577
656	1102	575
657	1104	574
658	1105	572
659	1107	570
660	1108	568
661	1109	566
662	1110	564
663	1111	562
664	1113	560
665	1114	558
666	1115	556
667	1116	554
668	1117	553
669	1119	551
670	1120	549
671	1121	547
672	1123	545
673	1124	543
674	1125	541
675	1126	540
676	1127	538
677	1129	536
678	1130	534
679	1131	532
680	1132	530
681	1134	528
682	1135	526
683	1136	525
684	1137	523
685	1138	521
686	1140	519
687	1141	517
688	1142	515
