iter	Passed	Remaining
0	147	147557
1	149	74596
2	151	50273
3	152	38074
4	154	30698
5	155	25754
6	157	22290
7	160	19848
8	162	17880
9	164	16239
10	165	14891
11	166	13748
12	168	12800
13	170	12008
14	172	11355
15	175	10774
16	177	10236
17	178	9729
18	179	9277
19	181	8905
20	183	8567
21	187	8345
22	189	8059
23	191	7796
24	193	7547
25	195	7309
26	196	7091
27	198	6892
28	200	6718
29	202	6544
30	204	6394
31	206	6238
32	207	6086
33	208	5933
34	210	5792
35	211	5665
36	212	5538
37	215	5446
38	216	5343
39	218	5246
40	219	5143
41	221	5050
42	222	4960
43	224	4873
44	225	4786
45	227	4708
46	228	4641
47	230	4570
48	231	4502
49	233	4436
50	235	4383
51	237	4327
52	238	4267
53	240	4211
54	242	4159
55	243	4109
56	245	4061
57	247	4013
58	248	3959
59	250	3918
60	251	3876
61	253	3832
62	254	3790
63	256	3758
64	259	3727
65	260	3689
66	262	3650
67	263	3614
68	264	3575
69	266	3537
70	268	3515
71	270	3490
72	273	3472
73	275	3442
74	276	3409
75	277	3376
76	308	3696
77	310	3664
78	311	3630
79	312	3595
80	313	3559
81	315	3526
82	316	3498
83	318	3476
84	320	3452
85	322	3426
86	323	3398
87	325	3371
88	326	3344
89	327	3316
90	329	3287
91	331	3268
92	334	3264
93	336	3242
94	337	3219
95	339	3195
96	340	3170
97	341	3145
98	342	3120
99	345	3109
100	349	3111
101	351	3096
102	353	3080
103	355	3060
104	356	3038
105	357	3017
106	359	3004
107	362	2991
108	364	2975
109	365	2956
110	366	2939
111	368	2922
112	369	2904
113	371	2885
114	373	2870
115	375	2859
116	377	2847
117	379	2833
118	380	2818
119	382	2801
120	383	2783
121	384	2766
122	385	2750
123	388	2743
124	391	2741
125	394	2738
126	396	2725
127	398	2714
128	400	2700
129	402	2696
130	405	2691
131	408	2685
132	410	2676
133	412	2665
134	414	2654
135	416	2644
136	417	2632
137	419	2620
138	420	2606
139	422	2593
140	423	2578
141	424	2562
142	425	2547
143	426	2533
144	427	2519
145	429	2510
146	430	2499
147	432	2489
148	433	2478
149	435	2467
150	436	2456
151	438	2444
152	439	2431
153	440	2418
154	441	2407
155	443	2399
156	444	2389
157	446	2378
158	447	2368
159	449	2358
160	450	2346
161	451	2337
162	453	2327
163	454	2317
164	456	2309
165	458	2303
166	461	2300
167	462	2291
168	464	2283
169	466	2276
170	468	2270
171	469	2261
172	471	2251
173	472	2244
174	475	2242
175	477	2236
176	479	2228
177	480	2220
178	511	2347
179	513	2340
180	515	2331
181	516	2323
182	519	2320
183	521	2314
184	523	2306
185	524	2297
186	526	2289
187	528	2281
188	529	2271
189	530	2262
190	532	2254
191	535	2251
192	537	2249
193	539	2241
194	540	2232
195	542	2225
196	543	2216
197	545	2208
198	547	2201
199	550	2200
200	551	2193
201	553	2185
202	554	2177
203	555	2168
204	556	2159
205	557	2150
206	558	2141
207	560	2135
208	562	2129
209	564	2123
210	565	2116
211	567	2108
212	568	2101
213	569	2093
214	571	2085
215	572	2079
216	574	2073
217	576	2067
218	578	2064
219	580	2057
220	581	2050
221	582	2042
222	584	2035
223	585	2027
224	586	2020
225	589	2018
226	591	2013
227	593	2008
228	594	2003
229	596	1996
230	597	1989
